"path","family","status","assignment","width","height","bytes","sha256","duplicate_of","placement_count","text_status","locale_reuse","locales","review_note"
"/assets/img/afroatlas-hero-banner.webp","brand-and-banners","rejected-artwork","index.html","1200","640","89802","8017c14107d1f85f0373e961e104bb9e8763366bc6fcd0384eeb2a92804d0259","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afrodraft-hero-banner.webp","brand-and-banners","rejected-artwork","index.html","1200","640","74836","69631209fb47703d93ed03317bc20e1841c6ae785b2e3efbc53cc47001118e16","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afropoints-hero-banner.webp","brand-and-banners","rejected-artwork","index.html","1200","675","53478","21a0f6c67a797e4bfa49db144c7dd58239675b0136933c817c30077ab7469187","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afroprices-hero-banner.webp","brand-and-banners","rejected-artwork","index.html","1200","600","100260","acc5bd8e3d40df04253f47d4b1b39485f4cc088eac7b2713c76b9a2620adc63c","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afrorates-hero-banner.webp","brand-and-banners","rejected-artwork","index.html","1200","640","105872","99c8aaa81c236ed1b8c576eb5a2856ef313e3244be505cf800a3d7bee975d279","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afrostream-country-ci.webp","brand-and-banners","rejected-artwork","index.html","1200","600","90018","61f139248314cb7a8f6478c956d1e90aa001334f27221dbb3bad0cf9a19966a6","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afrostream-country-dz.webp","brand-and-banners","rejected-artwork","index.html","1200","600","80396","79302e5d334d25f07e7fda9a580ed65cc75eb28200b97d1fb322f12a62694147","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afrostream-country-et.webp","brand-and-banners","rejected-artwork","index.html","1200","480","78946","ad50cd88b328176e2dd5eb92564ae1af453ac0531798e9b1d3be0b6142db8e33","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afrostream-country-gh.webp","brand-and-banners","rejected-artwork","index.html","1200","675","112376","6d843e9fd669ecda50c2a64ae75c6d86cc75c4faa1f0c0099a0210131fb765c8","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afrostream-country-ke.webp","brand-and-banners","rejected-artwork","index.html","1200","480","84258","49b4827b6e6384d874dee4ab3bd0ea7b032703cc246dac9c20c0ced1aace15b0","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afrostream-country-ma.webp","brand-and-banners","rejected-artwork","index.html","1200","480","80366","fea36b5f846da3f80dbcd27cc04cd5849dfec7da5f3ea9bdae61335bf805680e","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afrostream-country-ng.webp","brand-and-banners","rejected-artwork","index.html","1200","675","111958","e528f76a2648cb835bc91930fd708e1750e9b1294617d5fecaa450e14293e494","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afrostream-country-sn.webp","brand-and-banners","rejected-artwork","index.html","1200","600","98226","53a5c6babee30bb3e76129444a4d3d188bec1af60c147be50d96f262a0076dba","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afrostream-country-tz.webp","brand-and-banners","rejected-artwork","index.html","1200","600","89666","51f0f408d496c79420f40103f27176b4e7708a255a2f692714eef92bb834488f","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afrostream-country-za.webp","brand-and-banners","rejected-artwork","index.html","1200","600","92340","145f59f392b089e971dd4d8a67d4b8724b59d6f8822dab977a223d7874190f0b","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afrostream-genre-business.webp","brand-and-banners","placed","public.as_news:africa-soft-power-summit-2026-nairobi-creator-economy","1200","675","87084","73ee3645f627d4e90707dd10ca2b5cde233aceb374acdbd528035155ba6eed4f","","2","not-reviewed","false","en","Verified live-database-reference binding. Existing owner now detected by inventory."
"/assets/img/afrostream-genre-comedy.webp","brand-and-banners","rejected-artwork","index.html","1200","600","97188","733a030ca6ad784c4f0d114927255e3c793cb8ee0dca212fa2d5d178b107306b","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
"/assets/img/afrostream-genre-education.webp","brand-and-banners","rejected-artwork","index.html","1200","600","82320","0bfc72200e161049c12b5bc7bb7c3afe4878970c1505d3e00681a8835f3f830a","","0","embedded-text-or-unverified-details","false","","Visual review: promotional collage or mock interface, embedded copy, or unverified map/currency/UI details. Reject for automatic public placement and translated reuse; retain original in the design archive."
